# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 5.710089591e-01, 1.925965418e-02, 1.255714286e-01, 4.235419166e-03
1.050000000e-01, 5.131934900e-01, 1.054161050e-02, 3.385714286e-01, 6.954663683e-03
1.750000000e-01, 5.224179805e-01, 8.238555647e-03, 5.744285714e-01, 9.058765064e-03
2.450000000e-01, 5.342594795e-01, 7.041320653e-03, 8.224285714e-01, 1.083927100e-02
3.150000000e-01, 4.960870403e-01, 5.983905272e-03, 9.818571429e-01, 1.184336549e-02
3.850000000e-01, 5.048075894e-01, 5.460012272e-03, 1.221142857e+00, 1.320791352e-02
4.550000000e-01, 4.912565920e-01, 4.954610778e-03, 1.404428571e+00, 1.416448563e-02
5.250000000e-01, 4.464133751e-01, 4.396934470e-03, 1.472571429e+00, 1.450404588e-02
5.950000000e-01, 3.997024501e-01, 3.908147696e-03, 1.494285714e+00, 1.461059163e-02
6.650000000e-01, 3.614236098e-01, 3.515268340e-03, 1.510142857e+00, 1.468790979e-02
7.350000000e-01, 3.449130448e-01, 3.266421205e-03, 1.592857143e+00, 1.508479434e-02
8.050000000e-01, 3.241281503e-01, 3.025669456e-03, 1.639428571e+00, 1.530372770e-02
8.750000000e-01, 2.846339994e-01, 2.719571034e-03, 1.564857143e+00, 1.495162267e-02
9.450000000e-01, 2.586418198e-01, 2.494563223e-03, 1.535714286e+00, 1.481174382e-02
1.015000000e+00, 2.264457874e-01, 2.252216561e-03, 1.444142857e+00, 1.436336042e-02
1.085000000e+00, 1.898124390e-01, 1.994382761e-03, 1.294000000e+00, 1.359621796e-02
1.155000000e+00, 1.685841599e-01, 1.821706621e-03, 1.223428571e+00, 1.322026892e-02
1.225000000e+00, 1.462369442e-01, 1.647485319e-03, 1.125571429e+00, 1.268053305e-02
1.295000000e+00, 1.266743425e-01, 1.491318794e-03, 1.030714286e+00, 1.213445087e-02
1.365000000e+00, 1.103341018e-01, 1.355656317e-03, 9.462857143e-01, 1.162685140e-02
1.435000000e+00, 8.989996487e-02, 1.193479205e-03, 8.105714286e-01, 1.076085119e-02
1.505000000e+00, 7.612546353e-02, 1.072402384e-03, 7.198571429e-01, 1.014084487e-02
1.575000000e+00, 6.068819780e-02, 9.359936172e-04, 6.005714286e-01, 9.262608616e-03
1.645000000e+00, 5.134699206e-02, 8.424334415e-04, 5.307142857e-01, 8.707257119e-03
1.715000000e+00, 4.323234231e-02, 7.570653451e-04, 4.658571429e-01, 8.157880877e-03
1.785000000e+00, 3.407278694e-02, 6.587881283e-04, 3.821428571e-01, 7.388628881e-03
1.855000000e+00, 2.853390123e-02, 5.913841297e-04, 3.325714286e-01, 6.892764618e-03
1.925000000e+00, 2.253563127e-02, 5.159178368e-04, 2.725714286e-01, 6.240094191e-03
1.995000000e+00, 1.859941762e-02, 4.604041915e-04, 2.331428571e-01, 5.771145679e-03
2.065000000e+00, 1.378498712e-02, 3.895867699e-04, 1.788571429e-01, 5.054801718e-03
2.135000000e+00, 1.127769051e-02, 3.465550185e-04, 1.512857143e-01, 4.648897170e-03
2.205000000e+00, 8.259352732e-03, 2.918298795e-04, 1.144285714e-01, 4.043134771e-03
2.275000000e+00, 6.626042529e-03, 2.573341683e-04, 9.471428571e-02, 3.678398054e-03
2.345000000e+00, 5.759246798e-03, 2.363047584e-04, 8.485714286e-02, 3.481730745e-03
2.415000000e+00, 4.264844083e-03, 2.003798548e-04, 6.471428571e-02, 3.040542379e-03
2.485000000e+00, 3.019323439e-03, 1.662082851e-04, 4.714285714e-02, 2.595128875e-03
2.555000000e+00, 1.984431217e-03, 1.328873432e-04, 3.185714286e-02, 2.133312075e-03
2.625000000e+00, 1.775606168e-03, 1.240137141e-04, 2.928571429e-02, 2.045403009e-03
2.695000000e+00, 1.493263977e-03, 1.122405937e-04, 2.528571429e-02, 1.900590671e-03
2.765000000e+00, 7.811790025e-04, 8.014727457e-05, 1.357142857e-02, 1.392399192e-03
2.835000000e+00, 7.538707307e-04, 7.775582886e-05, 1.342857143e-02, 1.385051388e-03
2.905000000e+00, 5.243856005e-04, 6.406389745e-05, 9.571428571e-03, 1.169336110e-03
2.975000000e+00, 3.209847592e-04, 4.952902363e-05, 6.000000000e-03, 9.258200998e-04
3.045000000e+00, 2.314709470e-04, 4.157340935e-05, 4.428571429e-03, 7.953949090e-04
3.115000000e+00, 1.532792389e-04, 3.344827214e-05, 3.000000000e-03, 6.546536707e-04
3.185000000e+00, 1.427718709e-04, 3.192476086e-05, 2.857142857e-03, 6.388765650e-04
3.255000000e+00, 1.606567343e-04, 3.349924482e-05, 3.285714286e-03, 6.851187890e-04
3.325000000e+00, 6.838021185e-06, 6.838021185e-06, 1.428571429e-04, 1.428571429e-04
3.395000000e+00, 1.339406212e-05, 9.471032150e-06, 2.857142857e-04, 2.020305089e-04
3.465000000e+00, 1.312347500e-05, 9.279698167e-06, 2.857142857e-04, 2.020305089e-04
